REGION,PROVINCIA,COMUNA,LATITUD,LONGITUD,INICIO,TERMINO,SUPERFICIE
Valparaíso,Marga Marga,Quilpué,"33°07'37"" S","71°28'34"" O",15/12/2020,23/12/2020,346
Valparaíso,Valparaíso,Valparaíso,"33°09'23"" S","71°27'25"" O",14/1/2021,23/1/2021,3421
Valparaíso,Marga Marga,Quilpué,"33°09'31"" S","71°25'07"" O",15/1/2021,17/1/2021,451
Valparaíso,Isla de Pascua,Isla de Pascua,"27°07'43"" S","109°18'01"" O",24/1/2021,27/1/2021,265
Valparaíso,Isla de Pascua,Isla de Pascua,"27°06'41"" S","109°19'29"" O",24/1/2021,27/1/2021,598
Metropolitana,Melipilla,Curacaví,"33°23'54"" S","71°12'02"" O",28/2/2021,3/3/2021,484
O'Higgins,Colchagua,San Fernando,"34°45'47"" S","70°44'38"" O",27/1/2021,1/2/2021,977
Maule,Curicó,Teno,"34°52'39"" S","70°54'47"" O",10/1/2021,8/2/2021,2629
Maule,Curicó,Sagrada Familia,"35°07'32"" S","71°30'45"" O",25/11/2020,29/11/2020,560
Ñuble,Diguillín,Pinto,"37°01'55"" S","71°24'15"" O",3/11/2020,24/11/2020,242
Ñuble,Punilla,San Nicolás,"36°33'19"" S","72°16'12"" O",28/12/2020,30/12/2020,210
Ñuble,Diguillín,Yungay,"37°04'54"" S","72°02'08"" O",16/1/2021,17/1/2021,203
Biobío,Arauco,Tirúa,"38°19'43"" S","73°24'14"" O",7/3/2021,22/4/2021,210
Biobío,Arauco,Cañete,"37°59'24"" S","73°27'18"" O",13/1/2021,,459
Biobío,Arauco,Contulmo,"38°11'05"" S","73°09'04"" O",21/1/2021,28/1/2021,289
Biobío,Biobio,Nacimiento,"37°21'04"" S","72°48'13"" O",18/1/2021,29/1/2021,680
Araucanía,Malleco,Lumaco,"38°11'39"" S","72°51'56"" O",2/2/2021,10/3/2021,1405
Araucanía,Malleco,Traiguén,"38°09'12"" S","72°31'27"" O",20/1/2021,29/1/2021,289
Araucanía,Malleco,Purén,"38°02'45"" S","73°07'23"" O",8/1/2021,21/1/2021,473
Araucanía,Malleco,Collipulli,"37°58'12"" S","72°28'40"" O",18/1/2021,29/1/2021,295
Araucanía,Cautín,Cholchol,"38°31'25"" S","72°55'39"" O",21/1/2021,25/1/2021,240
Araucanía,Cautín,Galvarino,"38°20'14"" S","72°47'25"" O",22/1/2021,29/1/2021,312
Araucanía,Malleco,Ercilla,"37°59'18"" S","72°25'47"" O",23/1/2021,30/1/2021,443
Araucanía,Malleco,Collipulli,"37°55'18"" S","72°29'19"" O",2/2/2021,3/2/2021,251
Araucanía,Cautín,Galvarino,"38°27'03"" S","72°49'25"" O",4/2/2021,10/2/2021,263
Araucanía,Malleco,Angol,"37°55'23"" S","72°33'12"" O",25/2/2021,27/2/2021,204
Araucanía,Cautín,Galvarino,"38°25'46"" S","72°48'19"" O",18/3/2021,29/3/2021,595
Valparaíso,Valparaíso,Valparaíso,"33°07'53"" S","71°35'40"" O",3/11/2019,13/11/2019,363
Valparaíso,Valparaíso,Casablanca,"33°12'38"" S","71°35'49"" O",15/11/2019,1/12/2019,2532
Valparaíso,Valparaíso,Casablanca,"33°12'38"" S","71°29'05"" O",15/11/2019,1/12/2019,1049
Valparaíso,Valparaíso,Valparaíso,"33°11'34"" S","71°32'46"" O",27/11/2019,7/12/2019,218
Valparaíso,San Antonio,El Quisco,"33°25'37"" S","71°36'40"" O",5/12/2019,11/12/2019,659
Valparaíso,Valparaíso,Valparaíso,"33°07'17"" S","71°32'35"" O",12/12/2019,20/12/2019,501
Valparaíso,Marga Marga,Quilpué,"33°09'01"" S","71°09'53"" O",4/5/2020,19/5/2020,1702
Metropolitana,Melipilla,Alhué,"34°04'07"" S","71°07'40"" O",19-sep-2019 13:40,27-sep-2019 15:00,274
Metropolitana,Cordillera,San José de Maipo,"33°34'32"" S","70°26'37"" O",12/12/2019,1/1/2020,1073
Metropolitana,Chacabuco,Lampa,"33°18'18"" S","70°57'60"" O",15/12/2019,23/12/2019,763
Metropolitana,Melipilla,San Pedro,"34°00'03"" S","71°31'32"" O",21/12/2019,24/12/2019,230
O'Higgins,Cardenal Caro,Paredones,"34°42'38"" S","71°56'53"" O",16/12/2019,19/12/2019,440
O'Higgins,Cachapoal,Coltauco,"34°16'15"" S","71°04'48"" O",30/12/2019,3/1/2020,521
O'Higgins,Cachapoal,Requínoa,"34°20'05"" S","70°38'57"" O",25/2/2020,9/3/2020,2092
Maule,Cauquenes,Cauquenes,"36°03'33"" S","72°11'51"" O",27/1/2020,29/1/2020,334
Maule,Curicó,Vichuquén,"34°57'33"" S","72°02'10"" O",19/4/2020,24/4/2020,1110
Maule,Curicó,Molina,"35°21'23"" S","71°04'21"" O",9/2/2020,3/4/2020,14988
Maule,Linares,San Javier,"35°41'45"" S","71°50'30"" O",15/12/2019,18/12/2019,304
Maule,Curicó,Rauco,"35°00'44"" S","71°28'14"" O",26/12/2019,2/1/2020,451
Maule,Talca,Curepto,"35°16'08"" S","71°57'14"" O",5/1/2020,10/1/2020,235
Maule,Curicó,Romeral,"34°59'36"" S","71°01'54"" O",9/2/2020,16/2/2020,1278
Maule,Curicó,Molina,"35°14'20"" S","71°05'31"" O",26/2/2020,12/3/2020,215
Maule,Curicó,Curicó,"35°08'42"" S","70°53'53"" O",13/4/2020,19/4/2020,262
Ñuble,Diguillín,Chillán,"36°40'54"" S","72°21'26"" O",16/1/2020,4/2/2020,681
Ñuble,Itata,Quirihue,"36°10'55"" S","72°39'14"" O",9/2/2020,16/2/2020,242
Biobío,Arauco,Cañete,"37°57'24"" S","73°19'57"" O",7/2/2020,3/3/2020,293
Biobío,Arauco,Cañete,"37°52'45"" S","73°19'31"" O",23/3/2020,23/3/2020,300
Biobío,Biobio,Laja,"37°22'36"" S","72°36'49"" O",4/1/2020,24/4/2020,462
Biobío,Arauco,Cañete,"37°55'58"" S","73°20'40"" O",24/1/2020,24/4/2020,338
Biobío,Arauco,Curanilahue,"37°26'03"" S","73°20'54"" O",25/1/2020,4/2/2020,283
Biobío,Concepción,Hualqui,"37°00'57"" S","72°57'49"" O",9/2/2020,24/3/2020,943
Biobío,Concepción,Hualqui,"37°01'55"" S","72°53'45"" O",25/1/2020,4/2/2020,336
Biobío,Arauco,Cañete,"37°58'26"" S","73°27'14"" O",2/1/2020,10/1/2020,1232
Biobío,Arauco,Arauco,"37°16'12"" S","73°29'52"" O",30/12/2019,8/1/2020,350
Biobío,Biobio,Nacimiento,"37°27'39"" S","72°44'53"" O",16/1/2020,21/1/2020,226
