#,OBJECTID,Código de la remoción en masa,Región,Tipo de remoción en masa,Tipo de material,Clasificación de remoción en masa,Detonante,Día del evento,Mes de inicio del evento,Año del evento,Estación de ocurrencia del evento,Método de obtención de la información,Fuente de la información,Autor de la fuente,Nota,Enlace de documento asociado,Latitud,Longitud,Precisión de coordenadas
1000,886,RM-2017-04-068,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.85156186,-70.83137016,Coordenadas exactas
999,885,RM-2017-04-067,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.85752699,-70.82932611,Coordenadas exactas
998,884,RM-2017-04-066,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.85966251,-70.82822644,Coordenadas exactas
997,883,RM-2017-04-065,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.86020041,-70.82912645,Coordenadas exactas
996,882,RM-2017-04-064,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.86124673,-70.83888606,Coordenadas exactas
995,881,RM-2017-04-063,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.86445211,-70.83806497,Coordenadas exactas
994,880,RM-2017-04-062,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.86527108,-70.83950851,Coordenadas exactas
993,879,RM-2017-04-061,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.8663286,-70.84196058,Coordenadas exactas
992,878,RM-2017-04-060,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.86667697,-70.84285723,Coordenadas exactas
991,877,RM-2017-04-059,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.86864498,-70.84987064,Coordenadas exactas
